ID,Category,Type,Gender,Season,Occasion,Material,Color,Price Range,Age Group,Sleeve Length,Fit Type,Pattern,Brand
201,Traditional,Sherwani,Men,Winter,Festive,Nylon,Black,High,Seniors,Full,Regular Fit,Printed,FabIndia
202,Traditional,Sherwani,Men,Summer,Festive,Cotton,Yellow,Low,Seniors,Half,Slim Fit,Embroidered,Zara
203,Traditional,Salwar Kameez,Women,All,Office,Cotton,Black,Medium,Seniors,Sleeveless,Loose Fit,Solid,Adidas
204,Seasonal,Raincoat,Unisex,Monsoon,Travel,Nylon,White,High,Teens,Sleeveless,Regular Fit,Solid,H&M
205,Traditional,Lehenga,Women,Winter,Wedding,Nylon,Black,High,Seniors,Full,Regular Fit,Striped,Zara
206,Traditional,Saree,Women,Winter,Festive,Linen,Yellow,Medium,Teens,Half,Loose Fit,Printed,Local
207,Seasonal,Jacket,Unisex,Monsoon,Travel,Linen,Green,Low,Adults,Half,Regular Fit,Printed,Nike
208,Traditional,Saree,Women,Winter,Festive,Nylon,Black,Low,Teens,Full,Regular Fit,Solid,Adidas
209,Seasonal,Raincoat,Unisex,Summer,Travel,Cotton,Pink,Low,Kids,Half,Loose Fit,Solid,Local
210,Traditional,Kurti,Women,All,Festive,Cotton,Yellow,Medium,Teens,Half,Slim Fit,Embroidered,Zara
211,Western,Shirt,Men,Summer,Office,Wool,Red,High,Seniors,Half,Loose Fit,Checked,Zara
212,Western,Shirt,Men,Monsoon,Office,Linen,Green,High,Adults,Sleeveless,Loose Fit,Striped,Local
213,Western,Jeans,Unisex,Winter,Casual,Wool,Blue,High,Seniors,Sleeveless,Regular Fit,Printed,Adidas
214,Seasonal,Jacket,Unisex,Summer,Travel,Denim,Grey,High,Kids,Full,Regular Fit,Printed,Nike
215,Western,Formal Suit,Men,Summer,Party,Nylon,Pink,Low,Kids,Full,Regular Fit,Striped,Local
216,Western,Shirt,Men,Monsoon,Office,Polyester,White,Low,Kids,Half,Loose Fit,Striped,Zara
217,Traditional,Salwar Kameez,Women,Monsoon,Office,Linen,Grey,Medium,Adults,Sleeveless,Slim Fit,Checked,Local
218,Traditional,Salwar Kameez,Women,Winter,Office,Linen,Grey,Medium,Teens,Sleeveless,Slim Fit,Printed,Nike
219,Traditional,Saree,Women,Winter,Festive,Cotton,Grey,High,Teens,Half,Slim Fit,Printed,H&M
220,Traditional,Kurti,Women,Winter,Festive,Nylon,Grey,Medium,Adults,Sleeveless,Regular Fit,Solid,Local
221,Seasonal,Hoodie,Unisex,Summer,Casual,Silk,Blue,Medium,Seniors,Sleeveless,Loose Fit,Checked,Nike
222,Western,Jeans,Unisex,Winter,Casual,Wool,Red,High,Kids,Full,Loose Fit,Striped,Adidas
223,Western,Formal Suit,Men,Winter,Party,Polyester,Blue,Low,Adults,Full,Regular Fit,Checked,Levi's
224,Seasonal,Raincoat,Unisex,Monsoon,Travel,Cotton,Black,High,Seniors,Full,Regular Fit,Solid,Adidas
225,Western,Jeans,Unisex,Monsoon,Casual,Silk,Green,High,Kids,Full,Slim Fit,Checked,H&M
226,Western,Formal Suit,Men,All,Party,Cotton,Red,High,Teens,Half,Regular Fit,Printed,FabIndia
227,Traditional,Kurta Pajama,Men,Monsoon,Casual,Nylon,Blue,Low,Adults,Full,Slim Fit,Striped,Local
228,Traditional,Kurti,Women,Winter,Festive,Polyester,Green,Low,Adults,Sleeveless,Slim Fit,Solid,Levi's
229,Traditional,Kurti,Women,Monsoon,Festive,Polyester,Red,High,Adults,Half,Loose Fit,Solid,Adidas
230,Western,Jeans,Unisex,All,Casual,Silk,Blue,Medium,Adults,Sleeveless,Loose Fit,Embroidered,Levi's
231,Seasonal,Raincoat,Unisex,Monsoon,Travel,Wool,Yellow,Medium,Kids,Sleeveless,Slim Fit,Solid,Adidas
232,Western,Jeans,Unisex,Summer,Casual,Cotton,Grey,Low,Adults,Sleeveless,Loose Fit,Solid,Nike
233,Western,Formal Suit,Men,Monsoon,Party,Wool,Red,Low,Adults,Sleeveless,Slim Fit,Striped,FabIndia
234,Western,Formal Suit,Men,Winter,Party,Silk,Green,Low,Adults,Sleeveless,Loose Fit,Printed,Levi's
235,Traditional,Kurti,Women,Winter,Festive,Silk,Yellow,Medium,Teens,Sleeveless,Loose Fit,Solid,Local
236,Western,Shirt,Men,Summer,Office,Nylon,White,Medium,Teens,Sleeveless,Slim Fit,Striped,Levi's
237,Seasonal,Raincoat,Unisex,Summer,Travel,Silk,White,Low,Adults,Sleeveless,Loose Fit,Checked,Nike
238,Western,Formal Suit,Men,Winter,Party,Denim,Yellow,High,Teens,Sleeveless,Slim Fit,Printed,H&M
239,Western,Shirt,Men,Summer,Office,Polyester,Grey,Medium,Adults,Sleeveless,Regular Fit,Solid,Adidas
240,Western,Formal Suit,Men,All,Party,Wool,Yellow,High,Teens,Full,Regular Fit,Printed,H&M
241,Seasonal,Jacket,Unisex,All,Travel,Polyester,Yellow,Low,Adults,Sleeveless,Loose Fit,Solid,Levi's
242,Western,Shirt,Men,Winter,Office,Cotton,Black,High,Adults,Half,Slim Fit,Striped,H&M
243,Western,T-Shirt,Men,Summer,Casual,Cotton,Red,Low,Seniors,Sleeveless,Regular Fit,Printed,H&M
244,Western,Shirt,Men,Summer,Office,Linen,Red,High,Kids,Half,Slim Fit,Printed,Levi's
245,Traditional,Sherwani,Men,Monsoon,Festive,Wool,Blue,Low,Kids,Sleeveless,Regular Fit,Striped,Adidas
246,Traditional,Salwar Kameez,Women,Monsoon,Office,Cotton,Yellow,Medium,Kids,Half,Slim Fit,Striped,Levi's
247,Western,Shirt,Men,Monsoon,Office,Polyester,Green,High,Adults,Full,Slim Fit,Checked,FabIndia
248,Seasonal,Hoodie,Unisex,Monsoon,Casual,Linen,Yellow,High,Kids,Half,Regular Fit,Embroidered,Zara
249,Seasonal,Raincoat,Unisex,Winter,Travel,Silk,Yellow,Low,Adults,Half,Loose Fit,Printed,FabIndia
250,Seasonal,Hoodie,Unisex,Summer,Casual,Silk,White,High,Teens,Half,Regular Fit,Solid,Local
251,Western,Jeans,Unisex,Monsoon,Casual,Cotton,Green,High,Adults,Half,Regular Fit,Solid,Adidas
252,Western,T-Shirt,Men,Summer,Casual,Polyester,Green,High,Kids,Full,Regular Fit,Solid,Adidas
253,Western,Shirt,Men,Winter,Office,Linen,Yellow,Low,Teens,Full,Slim Fit,Embroidered,Adidas
254,Traditional,Salwar Kameez,Women,All,Office,Wool,Yellow,Medium,Adults,Full,Slim Fit,Striped,Levi's
255,Seasonal,Jacket,Unisex,Monsoon,Travel,Cotton,Green,Medium,Adults,Half,Loose Fit,Checked,H&M
256,Traditional,Sherwani,Men,Winter,Festive,Denim,Grey,Medium,Adults,Full,Regular Fit,Striped,H&M
257,Traditional,Lehenga,Women,All,Wedding,Silk,Yellow,High,Teens,Sleeveless,Loose Fit,Checked,Adidas
258,Traditional,Salwar Kameez,Women,Summer,Office,Silk,Pink,Low,Seniors,Full,Slim Fit,Embroidered,Levi's
259,Traditional,Saree,Women,All,Festive,Silk,White,High,Adults,Half,Slim Fit,Printed,Zara
260,Traditional,Kurti,Women,Monsoon,Festive,Polyester,Green,High,Seniors,Sleeveless,Loose Fit,Striped,Local
261,Traditional,Kurti,Women,Winter,Festive,Wool,White,Low,Kids,Full,Regular Fit,Checked,Local
262,Western,Jeans,Unisex,All,Casual,Nylon,Black,High,Adults,Full,Slim Fit,Striped,Local
263,Western,Jeans,Unisex,Winter,Casual,Cotton,White,Medium,Kids,Full,Regular Fit,Printed,H&M
264,Western,T-Shirt,Men,All,Casual,Wool,Pink,High,Kids,Full,Slim Fit,Striped,H&M
265,Traditional,Sherwani,Men,Monsoon,Festive,Cotton,Green,High,Seniors,Sleeveless,Regular Fit,Striped,Adidas
266,Seasonal,Hoodie,Unisex,All,Casual,Silk,Red,High,Seniors,Full,Slim Fit,Embroidered,Levi's
267,Seasonal,Raincoat,Unisex,Summer,Travel,Cotton,Black,Medium,Seniors,Sleeveless,Regular Fit,Printed,Levi's
268,Western,Shirt,Men,Monsoon,Office,Nylon,Red,Low,Kids,Sleeveless,Regular Fit,Embroidered,Zara
269,Western,T-Shirt,Men,Summer,Casual,Silk,Yellow,High,Seniors,Full,Slim Fit,Striped,FabIndia
270,Traditional,Sherwani,Men,Monsoon,Festive,Silk,Pink,High,Seniors,Sleeveless,Regular Fit,Striped,Nike
271,Seasonal,Hoodie,Unisex,Monsoon,Casual,Denim,Green,Low,Teens,Half,Loose Fit,Striped,Zara
272,Western,Formal Suit,Men,Summer,Party,Nylon,White,High,Adults,Full,Slim Fit,Striped,FabIndia
273,Western,Shirt,Men,Monsoon,Office,Nylon,Red,Low,Kids,Half,Loose Fit,Checked,H&M
274,Traditional,Sherwani,Men,Summer,Festive,Polyester,Yellow,Low,Teens,Sleeveless,Loose Fit,Solid,Levi's
275,Seasonal,Raincoat,Unisex,Winter,Travel,Denim,White,Low,Adults,Sleeveless,Slim Fit,Embroidered,FabIndia
276,Traditional,Sherwani,Men,Monsoon,Festive,Wool,Black,Low,Seniors,Half,Regular Fit,Striped,Levi's
277,Traditional,Kurta Pajama,Men,Summer,Casual,Nylon,Blue,Medium,Teens,Half,Slim Fit,Solid,H&M
278,Western,Shirt,Men,Winter,Office,Silk,Blue,Medium,Adults,Sleeveless,Loose Fit,Solid,FabIndia
279,Western,Jeans,Unisex,Winter,Casual,Wool,Yellow,High,Kids,Sleeveless,Slim Fit,Printed,Local
280,Traditional,Saree,Women,Monsoon,Festive,Polyester,Green,Low,Adults,Half,Slim Fit,Embroidered,Local
281,Western,Jeans,Unisex,All,Casual,Cotton,Grey,High,Kids,Sleeveless,Loose Fit,Printed,Nike
282,Traditional,Kurta Pajama,Men,Monsoon,Casual,Denim,Blue,High,Seniors,Sleeveless,Regular Fit,Striped,H&M
283,Traditional,Saree,Women,Monsoon,Festive,Cotton,Grey,High,Kids,Sleeveless,Regular Fit,Striped,FabIndia
284,Traditional,Sherwani,Men,Summer,Festive,Nylon,Red,High,Adults,Half,Loose Fit,Solid,Zara
285,Western,Jeans,Unisex,Winter,Casual,Silk,Yellow,Low,Adults,Half,Loose Fit,Embroidered,Local
286,Western,Jeans,Unisex,Summer,Casual,Nylon,Grey,High,Teens,Full,Slim Fit,Solid,FabIndia
287,Traditional,Sherwani,Men,Monsoon,Festive,Denim,White,High,Seniors,Half,Slim Fit,Checked,H&M
288,Traditional,Saree,Women,All,Festive,Linen,Red,Low,Teens,Sleeveless,Loose Fit,Solid,Levi's
289,Traditional,Sherwani,Men,Summer,Festive,Linen,Pink,High,Teens,Half,Loose Fit,Striped,Levi's
290,Traditional,Kurti,Women,Summer,Festive,Nylon,Pink,Medium,Teens,Half,Regular Fit,Striped,H&M
291,Traditional,Salwar Kameez,Women,Winter,Office,Polyester,Yellow,High,Seniors,Half,Regular Fit,Striped,Levi's
292,Seasonal,Raincoat,Unisex,Summer,Travel,Wool,Black,High,Kids,Sleeveless,Slim Fit,Striped,Levi's
293,Western,Shirt,Men,Summer,Office,Silk,Blue,High,Teens,Sleeveless,Regular Fit,Solid,Nike
294,Seasonal,Hoodie,Unisex,Summer,Casual,Polyester,Red,High,Seniors,Half,Slim Fit,Embroidered,FabIndia
295,Western,T-Shirt,Men,All,Casual,Nylon,White,High,Adults,Sleeveless,Loose Fit,Striped,FabIndia
296,Traditional,Lehenga,Women,All,Wedding,Nylon,Red,Low,Kids,Half,Regular Fit,Printed,Adidas
297,Western,Formal Suit,Men,All,Party,Denim,Yellow,Low,Seniors,Full,Slim Fit,Embroidered,Zara
298,Seasonal,Jacket,Unisex,All,Travel,Nylon,Grey,High,Kids,Full,Regular Fit,Striped,Zara
299,Traditional,Kurta Pajama,Men,Summer,Casual,Linen,Red,Low,Teens,Full,Slim Fit,Printed,Zara
300,Traditional,Sherwani,Men,All,Festive,Denim,Blue,High,Adults,Full,Regular Fit,Printed,Nike
301,Traditional,Kurti,Women,Winter,Festive,Polyester,Green,High,Kids,Full,Slim Fit,Checked,Local
302,Traditional,Kurta Pajama,Men,All,Casual,Cotton,Yellow,High,Seniors,Half,Slim Fit,Checked,Zara
303,Western,T-Shirt,Men,All,Casual,Silk,White,Medium,Teens,Full,Regular Fit,Striped,Levi's
304,Western,Shirt,Men,Winter,Office,Nylon,Yellow,Medium,Adults,Half,Loose Fit,Printed,Nike
305,Seasonal,Raincoat,Unisex,Summer,Travel,Linen,Blue,Medium,Seniors,Full,Slim Fit,Embroidered,Levi's
306,Western,Shirt,Men,Monsoon,Office,Linen,Yellow,Medium,Teens,Full,Slim Fit,Embroidered,Levi's
307,Traditional,Kurti,Women,Summer,Festive,Linen,Green,Low,Teens,Full,Regular Fit,Checked,Adidas
308,Traditional,Saree,Women,Monsoon,Festive,Nylon,Grey,Low,Teens,Half,Loose Fit,Checked,H&M
309,Western,T-Shirt,Men,Winter,Casual,Linen,Pink,Medium,Teens,Sleeveless,Regular Fit,Solid,Levi's
310,Traditional,Lehenga,Women,All,Wedding,Linen,Yellow,High,Teens,Sleeveless,Loose Fit,Striped,FabIndia
311,Western,Shirt,Men,Winter,Office,Wool,White,High,Seniors,Half,Slim Fit,Embroidered,Adidas
312,Western,Jeans,Unisex,Winter,Casual,Nylon,Grey,Medium,Teens,Half,Loose Fit,Checked,Zara
313,Traditional,Kurta Pajama,Men,Summer,Casual,Cotton,Black,Medium,Seniors,Full,Slim Fit,Embroidered,FabIndia
314,Seasonal,Hoodie,Unisex,Monsoon,Casual,Cotton,Green,High,Seniors,Half,Slim Fit,Checked,Zara
315,Traditional,Sherwani,Men,All,Festive,Nylon,Black,Low,Kids,Full,Slim Fit,Solid,Adidas
316,Traditional,Saree,Women,Monsoon,Festive,Denim,Black,Medium,Adults,Half,Slim Fit,Striped,Levi's
317,Traditional,Lehenga,Women,All,Wedding,Polyester,Grey,High,Seniors,Sleeveless,Slim Fit,Checked,H&M
318,Western,Formal Suit,Men,Monsoon,Party,Nylon,Pink,Low,Adults,Half,Slim Fit,Checked,H&M
319,Traditional,Lehenga,Women,Monsoon,Wedding,Wool,Red,Low,Adults,Sleeveless,Loose Fit,Solid,Nike
320,Seasonal,Jacket,Unisex,Summer,Travel,Polyester,Pink,Low,Kids,Sleeveless,Slim Fit,Solid,Zara
321,Western,T-Shirt,Men,All,Casual,Cotton,Red,Medium,Seniors,Sleeveless,Slim Fit,Embroidered,FabIndia
322,Traditional,Sherwani,Men,Winter,Festive,Polyester,White,High,Seniors,Half,Loose Fit,Printed,Zara
323,Seasonal,Jacket,Unisex,Summer,Travel,Nylon,Yellow,Medium,Seniors,Full,Slim Fit,Solid,Zara
324,Traditional,Salwar Kameez,Women,Winter,Office,Nylon,Pink,Medium,Seniors,Sleeveless,Slim Fit,Embroidered,Adidas
325,Traditional,Sherwani,Men,Winter,Festive,Silk,Green,Low,Adults,Full,Regular Fit,Printed,Adidas
326,Western,T-Shirt,Men,Summer,Casual,Denim,White,Low,Seniors,Sleeveless,Loose Fit,Printed,Levi's
327,Western,Jeans,Unisex,Summer,Casual,Cotton,Pink,Medium,Kids,Half,Slim Fit,Checked,H&M
328,Western,Shirt,Men,Monsoon,Office,Wool,Yellow,Low,Teens,Sleeveless,Slim Fit,Solid,Nike
329,Traditional,Kurti,Women,Summer,Festive,Linen,Pink,Low,Teens,Sleeveless,Slim Fit,Checked,Local
330,Western,T-Shirt,Men,Winter,Casual,Silk,Yellow,Medium,Kids,Sleeveless,Regular Fit,Embroidered,Local
331,Seasonal,Raincoat,Unisex,Summer,Travel,Silk,Grey,Medium,Teens,Full,Loose Fit,Striped,Adidas
332,Western,Shirt,Men,Monsoon,Office,Wool,White,Low,Adults,Sleeveless,Regular Fit,Printed,Zara
333,Seasonal,Raincoat,Unisex,All,Travel,Cotton,Grey,Low,Adults,Full,Loose Fit,Striped,Adidas
334,Traditional,Saree,Women,All,Festive,Denim,Grey,High,Teens,Half,Slim Fit,Embroidered,Local
335,Traditional,Kurta Pajama,Men,Monsoon,Casual,Cotton,Blue,Low,Teens,Half,Regular Fit,Striped,H&M
336,Western,Shirt,Men,Winter,Office,Wool,Red,Low,Seniors,Sleeveless,Regular Fit,Printed,Zara
337,Western,Formal Suit,Men,All,Party,Polyester,Grey,Low,Kids,Full,Loose Fit,Embroidered,H&M
338,Traditional,Kurta Pajama,Men,Winter,Casual,Linen,Grey,Low,Kids,Sleeveless,Loose Fit,Printed,Adidas
339,Western,Formal Suit,Men,Monsoon,Party,Denim,Green,Medium,Kids,Half,Loose Fit,Embroidered,Adidas
340,Western,Shirt,Men,Summer,Office,Nylon,Pink,Medium,Teens,Full,Slim Fit,Striped,H&M
341,Traditional,Salwar Kameez,Women,Winter,Office,Wool,White,Low,Adults,Half,Loose Fit,Solid,FabIndia
342,Western,Shirt,Men,Winter,Office,Cotton,Yellow,High,Adults,Half,Slim Fit,Solid,Zara
343,Seasonal,Jacket,Unisex,Summer,Travel,Linen,Red,High,Seniors,Sleeveless,Regular Fit,Printed,FabIndia
344,Seasonal,Jacket,Unisex,Winter,Travel,Wool,Grey,Low,Kids,Full,Slim Fit,Embroidered,H&M
345,Traditional,Salwar Kameez,Women,All,Office,Nylon,White,Low,Seniors,Full,Slim Fit,Solid,FabIndia
346,Western,Shirt,Men,Summer,Office,Silk,Black,High,Teens,Full,Loose Fit,Checked,Local
347,Western,T-Shirt,Men,Summer,Casual,Cotton,White,High,Seniors,Full,Slim Fit,Embroidered,H&M
348,Traditional,Saree,Women,Monsoon,Festive,Silk,Red,Medium,Seniors,Half,Slim Fit,Printed,Levi's
349,Traditional,Salwar Kameez,Women,All,Office,Nylon,Pink,Medium,Adults,Full,Regular Fit,Printed,Adidas
350,Western,Jeans,Unisex,Summer,Casual,Cotton,Blue,Low,Teens,Half,Loose Fit,Printed,FabIndia
351,Western,Shirt,Men,Winter,Office,Nylon,White,Low,Kids,Sleeveless,Slim Fit,Printed,Adidas
352,Seasonal,Hoodie,Unisex,Monsoon,Casual,Linen,White,Medium,Adults,Full,Slim Fit,Striped,Nike
353,Traditional,Sherwani,Men,All,Festive,Linen,Blue,High,Teens,Sleeveless,Regular Fit,Embroidered,H&M
354,Western,Formal Suit,Men,Summer,Party,Denim,Red,Low,Kids,Sleeveless,Regular Fit,Printed,FabIndia
355,Traditional,Kurta Pajama,Men,Monsoon,Casual,Silk,White,Medium,Adults,Sleeveless,Slim Fit,Solid,Local
356,Western,Jeans,Unisex,Monsoon,Casual,Denim,Red,High,Adults,Sleeveless,Slim Fit,Striped,Adidas
357,Traditional,Kurti,Women,Summer,Festive,Silk,White,Low,Teens,Full,Slim Fit,Striped,Levi's
358,Seasonal,Jacket,Unisex,Monsoon,Travel,Cotton,Yellow,Low,Teens,Sleeveless,Regular Fit,Solid,Zara
359,Seasonal,Jacket,Unisex,Winter,Travel,Wool,Black,High,Adults,Sleeveless,Regular Fit,Printed,FabIndia
360,Western,Shirt,Men,All,Office,Silk,Green,High,Kids,Half,Regular Fit,Striped,FabIndia
361,Seasonal,Jacket,Unisex,All,Travel,Cotton,Green,Medium,Kids,Sleeveless,Regular Fit,Checked,Nike
362,Western,T-Shirt,Men,Summer,Casual,Polyester,Grey,Medium,Kids,Half,Regular Fit,Striped,Levi's
363,Western,Formal Suit,Men,Winter,Party,Cotton,Blue,Low,Adults,Full,Loose Fit,Embroidered,Zara
364,Traditional,Salwar Kameez,Women,Summer,Office,Linen,Grey,Medium,Adults,Sleeveless,Loose Fit,Embroidered,FabIndia
365,Traditional,Kurta Pajama,Men,Summer,Casual,Polyester,Red,Medium,Adults,Full,Regular Fit,Checked,Nike
366,Traditional,Lehenga,Women,All,Wedding,Silk,Yellow,Low,Adults,Full,Loose Fit,Embroidered,FabIndia
367,Western,T-Shirt,Men,Summer,Casual,Wool,Pink,Medium,Teens,Half,Slim Fit,Striped,H&M
368,Traditional,Kurti,Women,Monsoon,Festive,Denim,Blue,Medium,Adults,Sleeveless,Slim Fit,Checked,FabIndia
369,Traditional,Sherwani,Men,Monsoon,Festive,Silk,Black,High,Adults,Full,Loose Fit,Checked,Adidas
370,Seasonal,Hoodie,Unisex,Summer,Casual,Wool,Yellow,Low,Kids,Full,Regular Fit,Solid,FabIndia
371,Traditional,Kurti,Women,Winter,Festive,Nylon,Grey,Medium,Kids,Half,Loose Fit,Solid,Adidas
372,Traditional,Salwar Kameez,Women,Summer,Office,Silk,Red,Low,Seniors,Half,Loose Fit,Striped,Nike
373,Traditional,Kurta Pajama,Men,Summer,Casual,Silk,Black,High,Adults,Half,Regular Fit,Solid,H&M
374,Traditional,Lehenga,Women,Monsoon,Wedding,Silk,Green,Medium,Kids,Half,Regular Fit,Embroidered,Zara
375,Traditional,Saree,Women,All,Festive,Polyester,White,Low,Adults,Full,Regular Fit,Solid,H&M
376,Traditional,Saree,Women,Monsoon,Festive,Polyester,Black,High,Teens,Full,Slim Fit,Checked,Nike
377,Traditional,Salwar Kameez,Women,Monsoon,Office,Denim,Pink,Low,Adults,Full,Slim Fit,Solid,FabIndia
378,Traditional,Sherwani,Men,Monsoon,Festive,Wool,Blue,Medium,Teens,Sleeveless,Regular Fit,Printed,H&M
379,Seasonal,Raincoat,Unisex,Monsoon,Travel,Nylon,Grey,Low,Teens,Full,Regular Fit,Printed,H&M
380,Traditional,Lehenga,Women,Summer,Wedding,Nylon,White,Low,Teens,Sleeveless,Slim Fit,Printed,Local
381,Seasonal,Hoodie,Unisex,Summer,Casual,Denim,White,Medium,Seniors,Half,Slim Fit,Solid,Zara
382,Seasonal,Raincoat,Unisex,All,Travel,Silk,Yellow,High,Teens,Full,Regular Fit,Printed,Adidas
383,Seasonal,Raincoat,Unisex,Winter,Travel,Polyester,Pink,Medium,Kids,Sleeveless,Loose Fit,Embroidered,H&M
384,Western,Jeans,Unisex,Summer,Casual,Linen,Yellow,Low,Seniors,Half,Loose Fit,Checked,Adidas
385,Traditional,Lehenga,Women,Winter,Wedding,Polyester,Yellow,Medium,Kids,Full,Regular Fit,Striped,H&M
386,Seasonal,Raincoat,Unisex,Summer,Travel,Linen,Black,Low,Kids,Sleeveless,Loose Fit,Solid,Adidas
387,Western,Formal Suit,Men,Winter,Party,Polyester,Pink,Low,Seniors,Sleeveless,Slim Fit,Striped,Levi's
388,Traditional,Salwar Kameez,Women,Monsoon,Office,Linen,Black,Medium,Seniors,Sleeveless,Regular Fit,Checked,Nike
389,Western,Shirt,Men,Summer,Office,Denim,Blue,Medium,Adults,Full,Slim Fit,Solid,Zara
390,Seasonal,Raincoat,Unisex,Winter,Travel,Denim,Red,Medium,Teens,Half,Slim Fit,Embroidered,Zara
391,Traditional,Kurti,Women,Winter,Festive,Silk,Pink,High,Teens,Half,Loose Fit,Solid,Local
392,Western,Shirt,Men,Monsoon,Office,Silk,Yellow,Low,Adults,Half,Slim Fit,Embroidered,Adidas
393,Western,Jeans,Unisex,Winter,Casual,Cotton,Blue,Medium,Teens,Full,Slim Fit,Printed,Levi's
394,Traditional,Kurta Pajama,Men,All,Casual,Linen,Red,High,Kids,Full,Slim Fit,Embroidered,Levi's
395,Western,Formal Suit,Men,Monsoon,Party,Silk,Blue,Low,Teens,Sleeveless,Slim Fit,Striped,H&M
396,Seasonal,Hoodie,Unisex,Summer,Casual,Cotton,Red,Low,Seniors,Half,Slim Fit,Embroidered,Adidas
397,Traditional,Salwar Kameez,Women,Winter,Office,Polyester,Green,Medium,Kids,Sleeveless,Regular Fit,Printed,Levi's
398,Seasonal,Raincoat,Unisex,Summer,Travel,Nylon,Black,High,Adults,Half,Loose Fit,Checked,Nike
399,Western,Jeans,Unisex,Winter,Casual,Polyester,Black,Low,Kids,Half,Regular Fit,Embroidered,Local
